RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-1,Aluno-1,2022,19,Feminino,2016,6.0,Escola Pública,7,7,A,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,2.7,3.5,6.0,Fase 8 (Universitários),8.0,-1,Moderada,True,False,Requer avaliação
RA-1,Aluno-1,2023,20,Feminino,2016,7.0,Privada *Parcerias com Bolsa 100%,FASE 8,8,8E,,,10.0,,,,,,,,,,Fase 8 (Universitários),8.0,0,Em fase,,,
RA-1,Aluno-1,2024,21,Feminino,2021,3.0,Privada *Parcerias com Bolsa 100%,8E,8,8E,,,10.0,,0.0,,,,,,,,Fase 8 (Universitários),8.0,0,Em fase,,,
RA-10,Aluno-10,2022,18,Feminino,2021,1.0,Escola Pública,7,7,A,Quartzo,5.784,5.0,4.1,5.2,8.3,5.0,,7.056,3.3,2.6,6.4,Fase 8 (Universitários),8.0,-1,Moderada,False,False,Requer avaliação
RA-100,Aluno-100,2022,13,Feminino,2019,3.0,Rede Decisão,4,4,A,Ametista,7.618,10.0,7.6,7.8,8.8,5.0,,7.25,7.0,7.8,8.1,Fase 3 (7º e 8º ano),3.0,1,Em fase,False,False,Não indicado
RA-1000,Aluno-1000,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Ametista,7.9162,10.0,7.0,9.4,8.5,3.77,6.25,8.92,7.0,7.0,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1000,Aluno-1000,2024,9,Feminino,2023,1.0,Pública,1N,1,1N,Topázio,8.364790909100002,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,7.5,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1001,Aluno-1001,2023,9,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Topázio,8.1162,5.0,7.8,9.1,9.0,7.52,7.5,9.17,8.3,7.3,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1001,Aluno-1001,2024,10,Feminino,2023,1.0,Pública,1N,1,1N,Ametista,7.7964318841,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,6.5,9.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1002,Aluno-1002,2023,9,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Ametista,7.9012,5.0,7.0,9.7,9.0,7.52,6.25,8.92,7.0,7.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1002,Aluno-1002,2024,10,Feminino,2023,1.0,Pública,ALFA,0,ALFA N - G2/G3,Ametista,7.967866666700001,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,10.0,8.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1003,Aluno-1003,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Ametista,7.6522,10.0,4.0,8.5,9.0,7.52,7.5,8.75,8.0,0.0,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1003,Aluno-1003,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.627588888900001,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,10.0,6.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1004,Aluno-1004,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.3137,10.0,7.9,9.6,9.0,7.52,6.875,7.42,6.5,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1004,Aluno-1004,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.801200000000001,5.0,7.5,9.25,9.502,7.51,7.5,7.5,7.5,7.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1005,Aluno-1005,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.4252,10.0,8.8,7.9,9.5,7.52,7.5,8.165,8.4,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1006,Aluno-1006,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.5922,10.0,8.7,9.3,9.0,7.52,7.5,8.0,8.7,8.6,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1006,Aluno-1006,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.040088888900001,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,5.0,5.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1007,Aluno-1007,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.0782,10.0,8.3,7.4,9.0,7.52,7.5,7.68,8.1,8.5,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1008,Aluno-1008,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.13595,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,7.5,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1008,Aluno-1008,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA I - G2/G3,Ágata,6.8667414438000005,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,6.5,7.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1009,Aluno-1009,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.245,10.0,8.8,9.0,0.0,3.77,7.5,7.84,8.3,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1009,Aluno-1009,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA E - G2/G3,Ágata,6.395389393900001,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,10.0,5.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-101,Aluno-101,2022,15,Feminino,2021,1.0,Escola Pública,4,4,A,Ametista,7.305,5.0,7.6,8.3,7.9,7.5,,6.833,7.2,6.5,9.2,Fase 5 (1º EM),5.0,-1,Moderada,True,False,Não atendido
RA-1010,Aluno-1010,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Topázio,8.70645,10.0,9.4,10.0,9.5,3.77,7.8125,8.59,9.0,9.8,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1011,Aluno-1011,2023,7,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.33095,10.0,5.2,8.6,9.5,3.77,7.1875,7.675,5.5,4.8,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1012,Aluno-1012,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.96495,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,7.0,6.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1012,Aluno-1012,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA C - G0/G1,Topázio,8.057128571400002,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,10.0,9.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1013,Aluno-1013,2023,7,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.6237,10.0,8.3,9.6,9.0,4.39,5.625,5.76,7.0,9.5,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1013,Aluno-1013,2024,8,Masculino,2023,1.0,Pública,ALFA,0,ALFA E - G2/G3,Quartzo,5.7839559808,5.0,7.75,5.6937799039999994,9.002,2.51,5.0,4.72,8.0,7.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1014,Aluno-1014,2023,7,Feminino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Topázio,8.2582,10.0,8.2,9.7,9.0,3.77,7.5,8.255,7.7,8.7,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1014,Aluno-1014,2024,8,Feminino,2023,1.0,Pública,ALFA,0,ALFA E - G2/G3,Ágata,6.315972727300001,5.0,5.25,7.8863636365000005,8.502,2.51,6.875,7.0,6.5,4.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1015,Aluno-1015,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1A,Ametista,7.538908333,5.0,6.3,9.3,10.0,6.27,7.34375,7.786666667,5.0,7.6,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1015,Aluno-1015,2024,11,Feminino,2023,1.0,Pública,2B,2,2B,Ágata,6.643252381000002,10.0,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,2.0,6.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1016,Aluno-1016,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1A,Ametista,7.762575,5.0,6.7,9.5,10.0,7.52,7.34375,7.73,5.8,7.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1017,Aluno-1017,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1A,Ágata,6.505333333,5.0,7.7,8.0,0.0,5.02,7.5,8.116666667,7.0,8.3,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1017,Aluno-1017,2024,12,Masculino,2023,1.0,Pública,2C,2,2C,Ametista,7.345521428500001,10.0,5.0,7.8095238095,9.502,6.26,7.1875,7.443333333,2.5,7.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1018,Aluno-1018,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1A,Ágata,6.824,10.0,6.3,8.5,0.0,5.02,7.5,8.06,5.8,6.8,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1018,Aluno-1018,2024,10,Masculino,2023,1.0,Pública,1A,1,1A,Ametista,7.7054045454,5.0,8.25,7.727272727,8.502,6.26,8.4375,8.45,8.5,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1019,Aluno-1019,2023,8,Feminino,2023,0.0,Pública,FASE 1,1,1A,Ametista,7.177033333,10.0,4.3,9.1,7.5,5.02,6.875,7.836666667,0.5,8.0,,ALFA (1° e 2° ano),,1,Em fase,,,
RA-1019,Aluno-1019,2024,9,Feminino,2023,1.0,Pública,1A,1,1A,Topázio,8.692255194900001,10.0,8.75,9.3073593075,9.502,6.26,7.8125,8.616666667,9.5,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-102,Aluno-102,2022,14,Masculino,2019,3.0,Escola Pública,4,4,A,Ágata,6.922,10.0,5.7,7.7,6.7,6.9,,6.0,4.7,6.8,5.5,Fase 4 (9º ano),4.0,0,Em fase,False,False,Requer avaliação
RA-1020,Aluno-1020,2023,9,Feminino,2023,0.0,Pública,FASE 1,1,1A,Ametista,7.612283333,10.0,6.1,9.1,10.0,2.52,7.1875,8.056666667,4.3,7.8,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1020,Aluno-1020,2024,10,Feminino,2023,1.0,Pública,1A,1,1A,Topázio,8.9544954545,10.0,9.0,9.7727272725,9.002,6.88,8.4375,8.84,10.0,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1021,Aluno-1021,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1A,Ágata,6.964616667,10.0,3.3,9.2,8.0,3.77,7.1875,7.893333333,2.5,4.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1021,Aluno-1021,2024,10,Masculino,2023,1.0,Pública,1A,1,1A,Topázio,8.0985863636,5.0,8.0,9.318181818,9.502,7.51,8.4375,7.95,9.0,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1022,Aluno-1022,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1A,Ametista,7.164616667,10.0,4.7,8.5,8.5,3.77,7.1875,7.893333333,4.7,4.7,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1022,Aluno-1022,2024,10,Masculino,2023,1.0,Pública,1A,1,1A,Ametista,7.613169697000002,5.0,6.5,9.318181818,9.502,6.26,7.5,8.116666667,5.5,7.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1023,Aluno-1023,2023,9,Feminino,2023,0.0,Pública,FASE 1,1,1A,Topázio,9.1342,10.0,9.1,10.0,10.0,6.27,8.75,9.06,8.5,9.7,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1023,Aluno-1023,2024,10,Feminino,2023,1.0,Pública,2B,2,2B,Topázio,9.498580952300001,10.0,9.5,9.511904762,9.502,9.375,8.958333333,9.563333333,9.0,10.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1024,Aluno-1024,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1B,Ametista,7.788875,5.0,9.8,10.0,0.0,6.27,9.21875,8.95,10.0,9.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1024,Aluno-1024,2024,11,Feminino,2023,1.0,Pública,1B,1,1B,Topázio,8.6516166666,5.0,10.0,10.0,8.002,7.51,8.4375,8.783333333,10.0,10.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1025,Aluno-1025,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1B,Topázio,8.215158333,10.0,7.5,8.9,8.5,7.52,7.65625,7.836666667,7.5,7.5,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1025,Aluno-1025,2024,10,Masculino,2023,1.0,Pública,1A,1,1A,Ametista,7.897071212,5.0,9.0,7.727272727,9.002,7.51,8.4375,7.783333333,10.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1026,Aluno-1026,2023,14,Feminino,2023,0.0,Pública,FASE 1,1,1B,Ágata,6.494825,2.5,3.2,9.8,8.5,7.52,6.40625,7.06,2.3,4.0,,Fase 4 (9° ano),4.0,-3,Severa,,,
RA-1027,Aluno-1027,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1B,Ametista,7.748866667,5.0,6.0,9.7,9.5,7.52,7.5,8.333333333,4.2,7.7,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1027,Aluno-1027,2024,11,Feminino,2023,1.0,Pública,2B,2,2B,Topázio,8.220866666700001,10.0,5.25,10.0,9.502,7.51,7.916666667,8.39,6.0,4.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1028,Aluno-1028,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1B,Ágata,6.415708333,5.0,5.0,9.2,0.0,7.52,7.34375,7.946666667,5.0,5.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1028,Aluno-1028,2024,12,Masculino,2023,1.0,Pública,1B,1,1B,Ametista,7.1404338602,5.0,7.5,7.055335968,8.002,5.63,6.875,8.393333333,6.0,9.0,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1029,Aluno-1029,2023,9,Feminino,2023,0.0,Pública,FASE 1,1,1C,Ametista,7.058533333,10.0,5.4,6.3,10.0,3.77,7.5,8.006666667,3.5,7.2,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1029,Aluno-1029,2024,10,Feminino,2023,1.0,Pública,1C,1,1C,Ametista,7.797790909100001,5.0,8.75,8.7954545455,9.002,6.885,7.5,7.25,8.0,9.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-103,Aluno-103,2022,13,Feminino,2020,2.0,Rede Decisão,4,4,A,Topázio,8.107,10.0,7.3,8.7,7.9,7.5,,7.708,7.3,7.3,7.3,Fase 3 (7º e 8º ano),3.0,1,Em fase,False,False,Não atendido
RA-103,Aluno-103,2023,14,Feminino,2020,3.0,Privada - Programa de Apadrinhamento,FASE 5,5,5A,Topázio,8.0239,10.0,7.1,9.2,8.3,5.0,8.125,8.09,7.3,6.3,7.7,Fase 4 (9° ano),4.0,1,Em fase,,,
RA-103,Aluno-103,2024,15,Feminino,2021,3.0,Privada - Programa de Apadrinhamento,5A,5,5A,Topázio,8.775268254,10.0,9.166666666666666,9.603174603333335,8.334,6.26,7.875,8.872,9.0,9.0,9.5,Fase 5 (1° EM),5.0,0,Em fase,,,
RA-1030,Aluno-1030,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1C,Ametista,7.4027,5.0,6.9,9.7,8.5,3.77,6.875,8.39,6.2,7.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1030,Aluno-1030,2024,12,Masculino,2023,1.0,Pública,2D,2,2D,Ametista,7.7401916040000005,10.0,8.0,8.28320802,7.418,4.385,7.8125,7.61,10.0,6.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1031,Aluno-1031,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1D,Ametista,7.0602,5.0,5.9,8.8,8.0,7.52,6.666666667,7.006666667,4.8,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1031,Aluno-1031,2024,11,Masculino,2023,1.0,Pública,1C,1,1C,Ágata,6.8757227273,5.0,6.25,8.6363636365,9.502,7.51,5.3125,5.83,5.5,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1032,Aluno-1032,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1D,Ametista,7.434033333,5.0,6.0,9.5,8.5,7.52,7.291666667,7.563333333,5.7,6.2,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1032,Aluno-1032,2024,11,Masculino,2023,1.0,Pública,1C,1,1C,Topázio,8.01645,5.0,8.0,9.75,8.502,7.51,7.8125,7.92,9.0,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1033,Aluno-1033,2023,11,Feminino,2023,0.0,Pública,FASE 1,1,1D,Topázio,8.126033333,5.0,7.9,8.9,9.0,7.52,8.125,9.006666667,7.0,8.8,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1034,Aluno-1034,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1D,Ametista,7.9642,5.0,8.3,9.0,7.5,7.52,8.333333333,8.393333333,7.8,8.7,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1034,Aluno-1034,2024,11,Masculino,2023,1.0,Pública,2B,2,2B,Topázio,8.0333666666,10.0,7.5,8.0833333335,7.502,7.51,7.708333333,8.223333333,7.5,7.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1035,Aluno-1035,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1D,Ágata,6.888833333,10.0,5.8,8.3,0.0,7.52,7.708333333,7.78,4.0,7.5,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1035,Aluno-1035,2024,10,Masculino,2023,1.0,Pública,1C,1,1C,Ametista,7.833495454500001,5.0,7.0,9.0227272725,9.502,7.51,8.4375,7.92,6.5,7.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1036,Aluno-1036,2023,11,Feminino,2023,0.0,Pública,FASE 1,1,1F,Ágata,6.970583333,5.0,8.0,9.6,0.0,3.77,9.0625,8.336666667,9.0,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1036,Aluno-1036,2024,12,Feminino,2023,1.0,Pública,2H,2,2H,Topázio,8.2841303831,10.0,7.0,9.0890269155,10.002,7.51,7.65625,7.7475,7.0,7.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1037,Aluno-1037,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1F,Ametista,7.655575,5.0,6.7,8.4,9.0,7.52,8.59375,8.17,5.0,8.3,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1038,Aluno-1038,2023,10,Feminino,2023,0.0,Privada,FASE 1,1,1F,Ametista,7.736825,5.0,6.5,9.3,8.0,7.52,8.90625,8.17,7.5,5.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1038,Aluno-1038,2024,11,Feminino,2023,1.0,Pública,2I,2,2I,Ametista,7.9646385965,10.0,8.5,7.5438596495,8.002,7.51,7.5,7.273333333,10.0,7.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1039,Aluno-1039,2023,12,Masculino,2023,0.0,Pública,FASE 1,1,1F,Ametista,7.686033333,5.0,6.2,9.9,8.0,7.52,8.125,8.056666667,6.0,6.3,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1039,Aluno-1039,2024,13,Masculino,2023,1.0,Pública,2I,2,2I,Ametista,7.549644444400001,5.0,7.25,9.722222222,8.002,7.51,7.5,6.77,8.0,6.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-104,Aluno-104,2022,18,Masculino,2022,0.0,Escola Pública,4,4,A,Ágata,6.315,2.5,3.7,8.7,7.9,7.5,,6.708,4.8,5.8,0.3,Fase 8 (Universitários),8.0,-4,Severa,False,False,Não atendido
RA-104,Aluno-104,2023,19,Masculino,2022,1.0,Pública,FASE 5,5,5F,Quartzo,4.25,2.5,2.6,7.7,0.0,2.52,5.625,5.6275,3.7,1.8,2.3,Fase 8 (Universitários),8.0,-3,Severa,,,
RA-1040,Aluno-1040,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1F,Ametista,7.81545,5.0,6.6,9.3,10.0,7.52,7.8125,8.06,5.8,7.3,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1040,Aluno-1040,2024,12,Masculino,2023,1.0,Pública,2I,2,2I,Ametista,7.764199999900001,5.0,8.25,8.5416666665,9.502,7.51,7.5,7.273333333,8.0,8.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1041,Aluno-1041,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1F,Ágata,6.724116667,5.0,3.3,7.2,10.0,7.52,7.8125,8.003333333,1.8,4.7,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1042,Aluno-1042,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1G,Quartzo,5.331166667,5.0,4.3,6.5,0.0,3.77,7.708333333,7.666666667,4.0,4.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1043,Aluno-1043,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1G,Ágata,6.5447,5.0,2.5,7.9,10.0,6.27,7.708333333,7.833333333,2.0,3.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1043,Aluno-1043,2024,11,Masculino,2023,1.0,Pública,1H,1,1H,Ametista,7.539847562500002,5.0,8.25,7.994071146,10.002,7.51,7.291666667,6.553333333,8.5,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1044,Aluno-1044,2023,10,Feminino,2023,0.0,Pública,FASE 1,1,1G,Ametista,7.629533333,5.0,6.1,9.7,8.0,7.52,7.5,8.336666667,4.5,7.7,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1044,Aluno-1044,2024,11,Feminino,2023,1.0,Pública,2G,2,2G,Ametista,7.966711904800001,10.0,7.0,9.523809524,7.502,7.51,7.1875,7.21,7.0,7.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1045,Aluno-1045,2023,11,Feminino,2023,0.0,Pública,FASE 1,1,1H,Topázio,8.089033333,5.0,7.9,9.4,9.5,7.52,7.708333333,8.28,6.8,9.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1046,Aluno-1046,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1H,Ágata,6.835833333,10.0,6.3,8.5,0.0,3.77,8.541666667,8.223333333,6.3,6.3,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1047,Aluno-1047,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1H,Ametista,7.848366667,10.0,6.9,8.5,10.0,3.77,8.125,7.893333333,5.8,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1048,Aluno-1048,2023,10,Feminino,2023,0.0,Privada,FASE 1,1,1H,Ametista,7.811366667,5.0,8.2,9.5,8.5,3.77,8.541666667,8.5,7.5,8.8,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1048,Aluno-1048,2024,11,Feminino,2023,1.0,Privada,2A,2,2A,Ametista,7.5198666666000005,10.0,6.25,6.833333333500001,8.502,6.255,7.708333333,8.283333333,6.5,6.0,,Fase 1 (3° e 4° ano),1.0,1,Em fase,,,
RA-1049,Aluno-1049,2023,10,Masculino,2023,0.0,Pública,FASE 1,1,1H,Ametista,7.443366667,5.0,6.3,7.7,10.0,7.52,8.125,7.943333333,5.5,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1049,Aluno-1049,2024,11,Masculino,2023,1.0,Pública,1J,1,1J,Ágata,6.821885606,5.0,4.5,8.03030303,9.502,7.51,7.65625,6.745,4.0,5.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-105,Aluno-105,2022,17,Masculino,2016,6.0,Rede Decisão,4,4,A,Ágata,6.846,2.5,6.7,8.2,7.9,5.6,,7.417,7.2,6.2,6.8,Fase 7 (3º EM),7.0,-3,Severa,False,False,Requer avaliação
RA-1050,Aluno-1050,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1H,Ametista,7.764366667,5.0,7.2,9.2,9.0,6.27,8.125,8.223333333,6.2,8.2,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1051,Aluno-1051,2023,9,Feminino,2023,0.0,Pública,FASE 1,1,1H,Topázio,8.534866667,10.0,8.4,8.9,8.5,6.27,8.75,8.613333333,7.0,9.8,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1052,Aluno-1052,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1H,Ágata,6.960333333,10.0,5.3,9.0,0.0,7.52,7.916666667,7.833333333,5.0,5.5,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1052,Aluno-1052,2024,10,Masculino,2023,1.0,Pública,1J,1,1J,Ametista,7.744032575800001,5.0,8.25,9.128787879,5.834,6.26,8.59375,8.4975,8.5,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1053,Aluno-1053,2023,9,Masculino,2023,0.0,Pública,FASE 1,1,1J,Ametista,7.776166667,10.0,8.6,9.1,0.0,6.27,8.958333333,8.616666667,7.8,9.3,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1054,Aluno-1054,2023,12,Masculino,2023,0.0,Pública,FASE 1,1,1J,Ametista,7.459533333,5.0,6.6,8.6,8.5,7.52,7.5,7.836666667,5.0,8.2,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1054,Aluno-1054,2024,13,Masculino,2023,1.0,Pública,2G,2,2G,Ágata,6.985788509300001,5.0,6.25,7.3291925465,9.502,7.51,7.1875,6.75,6.0,6.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1055,Aluno-1055,2023,11,Masculino,2023,0.0,Pública,FASE 1,1,1J,Quartzo,5.9765,5.0,5.5,7.2,0.0,7.52,7.291666667,7.276666667,6.0,5.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
