RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-1429,Aluno-1429,2024,11,Masculino,2024,0.0,Pública,1L,1,1L,Topázio,8.041811111100001,5.0,7.75,8.888888889,9.502,7.51,8.958333333,8.085,8.5,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-143,Aluno-143,2022,13,Masculino,2019,3.0,Rede Decisão,4,4,F,Topázio,8.638,10.0,7.9,9.9,8.3,5.6,,9.5,9.7,7.7,6.4,Fase 3 (7º e 8º ano),3.0,1,Em fase,False,True,Sem limitações
RA-143,Aluno-143,2023,14,Masculino,2019,4.0,Privada - Programa de Apadrinhamento,FASE 5,5,5A,Ametista,7.794358333,10.0,6.5,9.6,8.3,2.52,8.28125,8.3375,9.2,5.0,5.2,Fase 4 (9° ano),4.0,1,Em fase,,,
RA-143,Aluno-143,2024,15,Masculino,2021,3.0,Privada - Programa de Apadrinhamento,7E,7,7E,Ametista,7.449366666666667,10.0,2.6333333333333333,9.92,10.002,6.885,7.5,7.5,0.0,0.0,7.9,Fase 5 (1° EM),5.0,2,Em fase,,,
RA-1430,Aluno-1430,2024,11,Masculino,2024,0.0,Pública,1L,1,1L,Ametista,7.864033333300001,5.0,6.25,10.0,8.502,7.51,8.958333333,8.085,6.0,6.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1431,Aluno-1431,2024,11,Feminino,2024,0.0,Pública,1M,1,1M,Ametista,7.9147292443,5.0,8.0,7.7432712215,9.002,7.51,7.96875,9.09,8.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1432,Aluno-1432,2024,10,Feminino,2024,0.0,Pública,1M,1,1M,Topázio,8.774075000000002,5.0,9.5,10.0,10.002,7.51,9.21875,8.505,10.0,9.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1433,Aluno-1433,2024,10,Feminino,2024,0.0,Pública,1M,1,1M,Topázio,8.1939895962,5.0,8.75,9.068322981,8.502,7.51,8.28125,8.505,8.0,9.5,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1434,Aluno-1434,2024,10,Masculino,2024,0.0,Pública,1M,1,1M,Topázio,8.2775982919,5.0,9.0,7.9813664595,8.502,6.26,9.53125,9.76,10.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1435,Aluno-1435,2024,10,Masculino,2024,0.0,Pública,1M,1,1M,Ametista,7.7196166667,10.0,7.5,7.833333333500001,9.502,7.51,7.1875,6.165,7.5,7.5,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1436,Aluno-1436,2024,11,Feminino,2024,0.0,Pública,1M,1,1M,Ametista,7.589914648100001,5.0,8.0,8.674948240500001,7.418,7.51,8.28125,7.17,8.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1437,Aluno-1437,2024,11,Feminino,2024,0.0,Pública,1M,1,1M,Ametista,7.982890217400001,5.0,8.0,9.347826087,8.502,7.51,8.28125,7.92,8.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1438,Aluno-1438,2024,10,Feminino,2024,0.0,Pública,1M,1,1M,Topázio,8.176825000000001,5.0,7.0,9.0,10.002,7.51,8.90625,9.175,6.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1439,Aluno-1439,2024,11,Feminino,2024,0.0,Pública,1M,1,1M,Topázio,8.507700000000002,5.0,8.5,10.0,7.502,7.51,9.375,9.345,9.0,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-144,Aluno-144,2022,14,Feminino,2017,5.0,Rede Decisão,4,4,F,Topázio,8.181,10.0,7.9,9.3,7.5,5.0,,8.292,7.5,7.2,9.0,Fase 4 (9º ano),4.0,0,Em fase,False,False,Requer avaliação
RA-144,Aluno-144,2023,14,Feminino,2017,6.0,Privada - Programa de Apadrinhamento,FASE 5,5,5F,Quartzo,4.990333333,10.0,4.4,5.2,0.0,2.52,6.25,6.0,3.3,2.5,7.3,Fase 4 (9° ano),4.0,1,Em fase,,,
RA-1440,Aluno-1440,2024,10,Feminino,2024,0.0,Pública,1M,1,1M,Ametista,7.469102691500001,5.0,4.5,9.544513457499999,9.002,7.51,8.75,8.17,9.0,0.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1441,Aluno-1441,2024,9,Masculino,2024,0.0,Pública,1M,1,1M,Topázio,8.961646169800002,10.0,8.5,9.109730849,9.502,7.51,9.375,9.005,9.0,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1442,Aluno-1442,2024,13,Masculino,2024,0.0,Pública,1M,1,1M,Ametista,7.135189648100001,5.0,7.25,8.674948240500001,8.002,7.51,7.5,5.745,8.5,6.0,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1443,Aluno-1443,2024,13,Feminino,2024,0.0,Pública,1N,1,1N,Ágata,6.921633333300001,5.0,6.75,7.5,6.918,6.26,7.708333333,7.415,6.5,7.0,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1444,Aluno-1444,2024,11,Masculino,2024,0.0,Pública,1N,1,1N,Ágata,6.610588888900001,5.0,6.0,5.277777778,8.502,7.51,7.708333333,7.415,8.0,4.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1445,Aluno-1445,2024,10,Feminino,2024,0.0,Pública,1N,1,1N,Ametista,7.842866666700001,5.0,7.25,9.5,9.502,7.51,7.916666667,7.5,6.5,8.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1446,Aluno-1446,2024,9,Masculino,2024,0.0,Pública,1N,1,1N,Quartzo,5.9004061924,10.0,0.0,6.6501976285,8.002,6.26,7.291666667,7.075,0.0,0.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1447,Aluno-1447,2024,11,Feminino,2024,0.0,Pública,1N,1,1N,Ametista,7.5402350878,5.0,5.25,9.7368421055,9.502,7.51,7.916666667,7.75,6.5,4.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1448,Aluno-1448,2024,13,Feminino,2024,0.0,Pública,1P,1,1P,Ametista,7.466126406900001,5.0,6.0,9.5346320345,9.002,7.51,7.5,7.29,6.0,6.0,,Fase 3 (7° e 8° ano),3.0,-2,Moderada,,,
RA-1449,Aluno-1449,2024,10,Feminino,2024,0.0,Pública,1R,1,1R,Ametista,7.214341666700001,5.0,6.75,8.3333333335,7.418,7.51,7.96875,7.04,6.5,7.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-145,Aluno-145,2022,16,Masculino,2017,5.0,Escola Pública,4,4,H,Quartzo,5.846,5.0,5.2,6.3,0.0,8.1,,7.25,3.0,4.8,7.8,Fase 6 (2º EM),6.0,-2,Moderada,True,False,Sem limitações
